Date,Station Id,Station Name,Air Temperature Average (degF),Snow Water Equivalent (in),Snow Depth (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment - Snow-adj (in),Reservoir Storage Volume (ac_ft),Elevation (ft),Start Date,End Date
Sep-89,574,LEAVITT LAKE,45,0,,0,65,27,5.1,,9617,8/17/89,1/1/00
Oct-89,574,LEAVITT LAKE,37,0,,0,62,9,5.5,,9617,8/17/89,1/1/00
Nov-89,574,LEAVITT LAKE,35,3.1,,5.5,62,4,4.3,,9617,8/17/89,1/1/00
Dec-89,574,LEAVITT LAKE,31,7.4,,9.4,51,11,0.3,,9617,8/17/89,1/1/00
Jan-90,574,LEAVITT LAKE,23,7.7,,9.7,48,1,10.5,,9617,8/17/89,1/1/00
Feb-90,574,LEAVITT LAKE,21,18.2,,17.5,52,-9,10,,9617,8/17/89,1/1/00
Mar-90,574,LEAVITT LAKE,28,28.2,,23.6,51,-2,5,,9617,8/17/89,1/1/00
Apr-90,574,LEAVITT LAKE,35,33.2,,26.4,60,10,4.2,,9617,8/17/89,1/1/00
May-90,574,LEAVITT LAKE,34,31.2,,30.6,62,9,3.1,,9617,8/17/89,1/1/00
Jun-90,574,LEAVITT LAKE,45,22.2,,33.7,67,15,0.1,,9617,8/17/89,1/1/00
Jul-90,574,LEAVITT LAKE,53,0,,33.8,71,32,3.3,,9617,8/17/89,1/1/00
Aug-90,574,LEAVITT LAKE,50,0,,37.1,73,24,0.8,,9617,8/17/89,1/1/00
Sep-90,574,LEAVITT LAKE,46,0,,37.9,71,28,0.7,,9617,8/17/89,1/1/00
Oct-90,574,LEAVITT LAKE,41,0,,0,63,10,1.9,,9617,8/17/89,1/1/00
Nov-90,574,LEAVITT LAKE,31,0,,1.9,59,4,2.2,,9617,8/17/89,1/1/00
Dec-90,574,LEAVITT LAKE,21,0.9,,4.1,50,-17,2.3,,9617,8/17/89,1/1/00
Jan-91,574,LEAVITT LAKE,26,2.7,,6.4,46,2,0.8,,9617,8/17/89,1/1/00
Feb-91,574,LEAVITT LAKE,30,3.5,,7.1,50,10,3.3,,9617,8/17/89,1/1/00
Mar-91,574,LEAVITT LAKE,19,6.8,,9.6,45,-2,27.2,,9617,8/17/89,1/1/00
Apr-91,574,LEAVITT LAKE,27,34,,29.2,53,1,4.2,,9617,8/17/89,1/1/00
May-91,574,LEAVITT LAKE,30,37.1,,33.4,55,8,3.3,,9617,8/17/89,1/1/00
Jun-91,574,LEAVITT LAKE,42,31.5,,36.7,67,20,0.6,,9617,8/17/89,1/1/00
Jul-91,574,LEAVITT LAKE,54,0,,37.3,74,32,0.6,,9617,8/17/89,1/1/00
Aug-91,574,LEAVITT LAKE,49,0,,37.9,68,26,0.2,,9617,8/17/89,1/1/00
Sep-91,574,LEAVITT LAKE,46,0,,38.1,69,20,1.9,,9617,8/17/89,1/1/00
Oct-91,574,LEAVITT LAKE,38,0,,0,67,-2,6.3,,9617,8/17/89,1/1/00
Nov-91,574,LEAVITT LAKE,32,3.6,,6.3,59,-1,4.2,,9617,8/17/89,1/1/00
Dec-91,574,LEAVITT LAKE,24,7.3,,10.5,47,-15,5.8,,9617,8/17/89,1/1/00
Jan-92,574,LEAVITT LAKE,9,13.1,,13.7,48,-60,3,,9617,8/17/89,1/1/00
Feb-92,574,LEAVITT LAKE,26,16.1,,15.1,57,9,14.7,,9617,8/17/89,1/1/00
Mar-92,574,LEAVITT LAKE,27,30.8,,25.6,50,12,4.2,,9617,8/17/89,1/1/00
Apr-92,574,LEAVITT LAKE,38,35,,28.9,65,20,0.9,,9617,8/17/89,1/1/00
May-92,574,LEAVITT LAKE,44,27.1,,29.8,64,22,1,,9617,8/17/89,1/1/00
Jun-92,574,LEAVITT LAKE,44,0,,30.8,69,21,2.2,,9617,8/17/89,1/1/00
Jul-92,574,LEAVITT LAKE,52,0,,33,72,28,2.9,,9617,8/17/89,1/1/00
Aug-92,574,LEAVITT LAKE,44,0,,35.9,74,,1,,9617,8/17/89,1/1/00
Sep-92,574,LEAVITT LAKE,,0,,36.9,,,0.3,,9617,8/17/89,1/1/00
Oct-92,574,LEAVITT LAKE,,0,,0,,,4.7,,9617,8/17/89,1/1/00
Nov-92,574,LEAVITT LAKE,31,3.4,,4.7,57,5,1,,9617,8/17/89,1/1/00
Dec-92,574,LEAVITT LAKE,20,3.4,,5.7,47,-2,24.9,,9617,8/17/89,1/1/00
Jan-93,574,LEAVITT LAKE,22,28.3,,21.8,50,-2,26,,9617,8/17/89,1/1/00
Feb-93,574,LEAVITT LAKE,20,54.3,,37.5,48,1,19,,9617,8/17/89,1/1/00
Mar-93,574,LEAVITT LAKE,31,73.3,,52.8,53,16,7,,9617,8/17/89,1/1/00
Apr-93,574,LEAVITT LAKE,30,80.3,,59.3,58,5,1.9,,9617,8/17/89,1/1/00
May-93,574,LEAVITT LAKE,39,66.6,,61.2,60,18,2.2,,9617,8/17/89,1/1/00
Jun-93,574,LEAVITT LAKE,43,31.5,,63.4,67,15,1.5,,9617,8/17/89,1/1/00
