# Monthly Data for Mar 1950 to Mar 2014
#
# (As of: Fri Mar 14 18:08:55 PDT 2014)
"#  **Provisional data, subject to revision**"
#
"Date,Station Id,Station Name,Air Temperature Average (degF),Snow Water Equivalent (in),Snow Depth (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment - Snow-adj (in),Reservoir Storage Volume (ac_ft),Elevation (ft),Start Date,End Date"
"Sep 1989,574,LEAVITT LAKE,45,0.0,,0.0,65,27,5.10,,9617,1989-08-17,2100-01-01"
"Oct 1989,574,LEAVITT LAKE,37,0.0,,0.0,62,9,5.50,,9617,1989-08-17,2100-01-01"
"Nov 1989,574,LEAVITT LAKE,35,3.1,,5.5,62,4,4.30,,9617,1989-08-17,2100-01-01"
"Dec 1989,574,LEAVITT LAKE,31,7.4,,9.4,51,11,0.30,,9617,1989-08-17,2100-01-01"
"Jan 1990,574,LEAVITT LAKE,23,7.7,,9.7,48,1,10.50,,9617,1989-08-17,2100-01-01"
"Feb 1990,574,LEAVITT LAKE,21,18.2,,17.5,52,-9,10.00,,9617,1989-08-17,2100-01-01"
"Mar 1990,574,LEAVITT LAKE,28,28.2,,23.6,51,-2,5.00,,9617,1989-08-17,2100-01-01"
"Apr 1990,574,LEAVITT LAKE,35,33.2,,26.4,60,10,4.20,,9617,1989-08-17,2100-01-01"
"May 1990,574,LEAVITT LAKE,34,31.2,,30.6,62,9,3.10,,9617,1989-08-17,2100-01-01"
"Jun 1990,574,LEAVITT LAKE,45,22.2,,33.7,67,15,0.10,,9617,1989-08-17,2100-01-01"
"Jul 1990,574,LEAVITT LAKE,53,0.0,,33.8,71,32,3.30,,9617,1989-08-17,2100-01-01"
"Aug 1990,574,LEAVITT LAKE,50,0.0,,37.1,73,24,0.80,,9617,1989-08-17,2100-01-01"
"Sep 1990,574,LEAVITT LAKE,46,0.0,,37.9,71,28,0.70,,9617,1989-08-17,2100-01-01"
"Oct 1990,574,LEAVITT LAKE,41,0.0,,0.0,63,10,1.90,,9617,1989-08-17,2100-01-01"
"Nov 1990,574,LEAVITT LAKE,31,0.0,,1.9,59,4,2.20,,9617,1989-08-17,2100-01-01"
"Dec 1990,574,LEAVITT LAKE,21,0.9,,4.1,50,-17,2.30,,9617,1989-08-17,2100-01-01"
"Jan 1991,574,LEAVITT LAKE,26,2.7,,6.4,46,2,0.80,,9617,1989-08-17,2100-01-01"
"Feb 1991,574,LEAVITT LAKE,30,3.5,,7.1,50,10,3.30,,9617,1989-08-17,2100-01-01"
"Mar 1991,574,LEAVITT LAKE,19,6.8,,9.6,45,-2,27.20,,9617,1989-08-17,2100-01-01"
"Apr 1991,574,LEAVITT LAKE,27,34.0,,29.2,53,1,4.20,,9617,1989-08-17,2100-01-01"
"May 1991,574,LEAVITT LAKE,30,37.1,,33.4,55,8,3.30,,9617,1989-08-17,2100-01-01"
"Jun 1991,574,LEAVITT LAKE,42,31.5,,36.7,67,20,0.60,,9617,1989-08-17,2100-01-01"
"Jul 1991,574,LEAVITT LAKE,54,0.0,,37.3,74,32,0.60,,9617,1989-08-17,2100-01-01"
"Aug 1991,574,LEAVITT LAKE,49,0.0,,37.9,68,26,0.20,,9617,1989-08-17,2100-01-01"
"Sep 1991,574,LEAVITT LAKE,46,0.0,,38.1,69,20,1.90,,9617,1989-08-17,2100-01-01"
"Oct 1991,574,LEAVITT LAKE,38,0.0,,0.0,67,-2,6.30,,9617,1989-08-17,2100-01-01"
"Nov 1991,574,LEAVITT LAKE,32,3.6,,6.3,59,-1,4.20,,9617,1989-08-17,2100-01-01"
"Dec 1991,574,LEAVITT LAKE,24,7.3,,10.5,47,-15,5.80,,9617,1989-08-17,2100-01-01"
"Jan 1992,574,LEAVITT LAKE,9,13.1,,13.7,48,-60,3.00,,9617,1989-08-17,2100-01-01"
"Feb 1992,574,LEAVITT LAKE,26,16.1,,15.1,57,9,14.70,,9617,1989-08-17,2100-01-01"
"Mar 1992,574,LEAVITT LAKE,27,30.8,,25.6,50,12,4.20,,9617,1989-08-17,2100-01-01"
"Apr 1992,574,LEAVITT LAKE,38,35.0,,28.9,65,20,0.90,,9617,1989-08-17,2100-01-01"
"May 1992,574,LEAVITT LAKE,44,27.1,,29.8,64,22,1.00,,9617,1989-08-17,2100-01-01"
"Jun 1992,574,LEAVITT LAKE,44,0.0,,30.8,69,21,2.20,,9617,1989-08-17,2100-01-01"
"Jul 1992,574,LEAVITT LAKE,52,0.0,,33.0,72,28,2.90,,9617,1989-08-17,2100-01-01"
"Aug 1992,574,LEAVITT LAKE,44,0.0,,35.9,74,,1.00,,9617,1989-08-17,2100-01-01"
"Sep 1992,574,LEAVITT LAKE,,0.0,,36.9,,,0.30,,9617,1989-08-17,2100-01-01"
"Oct 1992,574,LEAVITT LAKE,,0.0,,0.0,,,4.70,,9617,1989-08-17,2100-01-01"
"Nov 1992,574,LEAVITT LAKE,31,3.4,,4.7,57,5,1.00,,9617,1989-08-17,2100-01-01"
"Dec 1992,574,LEAVITT LAKE,20,3.4,,5.7,47,-2,24.90,,9617,1989-08-17,2100-01-01"
"Jan 1993,574,LEAVITT LAKE,22,28.3,,21.8,50,-2,26.00,,9617,1989-08-17,2100-01-01"
"Feb 1993,574,LEAVITT LAKE,20,54.3,,37.5,48,1,19.00,,9617,1989-08-17,2100-01-01"
"Mar 1993,574,LEAVITT LAKE,31,73.3,,52.8,53,16,7.00,,9617,1989-08-17,2100-01-01"
